strategy,n_droop,pct_droop,frequency_nadir_hz,frequency_peak_hz,frequency_std_hz,stable,peak_kw
near_source_first,1,10,45.0,55.0,3.8046621091377104,False,127.29704554248114
near_source_first,2,20,45.0,55.0,3.4277369898932406,False,121.1205351247445
near_source_first,3,30,45.0,55.0,3.2601848918615706,False,112.58167601876895
near_source_first,4,40,45.497507259179194,55.0,2.8969231671494677,False,106.10083353223858
near_source_first,5,50,45.0,55.0,2.7324933343336864,False,97.04879602505495
near_source_first,6,60,45.59686114662561,54.84015211369021,2.316882865589388,True,87.84778155763276
near_source_first,7,70,46.45634750695446,52.9194530561893,1.672734828849091,True,76.6799185038535
near_source_first,8,80,47.399363730365586,52.16061611931357,1.1589243395409614,True,62.97946657157202
near_source_first,9,90,48.389991543205795,51.18746212103626,0.5950380653791734,True,46.62764590590917
near_source_first,10,100,49.3991578740789,50.66687057108598,0.302255991251444,True,39.21684682160164
end_of_line_first,1,10,45.0,55.0,3.8277656377826825,False,126.00842125921098
end_of_line_first,2,20,45.0,55.0,3.525914018118487,False,120.73598998747197
end_of_line_first,3,30,45.821204707948844,55.0,3.1400885694703677,False,113.78884693945373
end_of_line_first,4,40,45.0,55.0,3.0670506175976087,False,105.38442307902055
end_of_line_first,5,50,45.0,55.0,2.807315446680413,False,97.04879602505495
end_of_line_first,6,60,45.59682993863012,55.0,2.4350410182782087,False,87.8477515979571
end_of_line_first,7,70,46.45634750797984,53.049578932472734,1.7090754834466024,True,76.6799185044995
end_of_line_first,8,80,47.399363732508455,52.802819247866275,1.2983126532903642,True,62.97946657225772
end_of_line_first,9,90,48.389991543205795,51.549538436237775,0.7114516914455841,True,46.62764590590917
end_of_line_first,10,100,49.3991578740789,50.66687057108598,0.302255991251444,True,39.21684682160164
random,1,10,45.0,55.0,3.8987715938006526,False,126.00842125921098
random,2,20,45.309736242499,55.0,3.5747530450231952,False,119.33701723469885
random,3,30,45.0,55.0,3.257294614885871,False,112.58167601876895
random,4,40,45.0,55.0,3.0343941079242582,False,105.38442307902055
random,5,50,45.0,55.0,2.715510871541707,False,97.04879602505495
random,6,60,45.59687231518727,54.778857645027536,2.356114230073917,True,87.84779227945192
random,7,70,46.456347724801816,53.8610962569089,1.797483304068771,True,76.67991864109733
random,8,80,47.39936373036722,52.802819247866275,1.2615108728565818,True,62.97946657157253
random,9,90,48.389991543205795,51.18746212103626,0.6252997654437717,True,46.62764590590917
random,10,100,49.3991578740789,50.66687057108598,0.302255991251444,True,39.21684682160164
