topology,k,mean_std_avg,mean_std_err,final_std_avg,time_sync_avg,sync_fraction
linear,0.0,0.08689399354375794,0.002515392288670146,0.09129417902983257,233.1,0.0
linear,0.0513,0.07274410165072949,0.0017450611711236688,0.07349468711075803,76.25,0.05
linear,0.1026,0.06456933627469216,0.001251748643111655,0.06317785147031388,15.35,0.15
linear,0.1538,0.05878818925634403,0.0014665887714063717,0.057626182874104495,12.9,0.1
linear,0.2051,0.05515165691124034,0.0016188673175903325,0.052037462368855036,9.1,0.35
linear,0.2564,0.05238308248841923,0.001593208622149772,0.05666684956516186,2.65,0.35
linear,0.3077,0.05017706885192604,0.0014261410893462029,0.04865268206525334,2.15,0.65
linear,0.359,0.048698123336449795,0.001265240199125116,0.04922609279687909,1.35,0.6
linear,0.4103,0.048109297479726774,0.001380597522662109,0.046328374961651264,2.4,0.75
linear,0.4615,0.9262636526779155,0.01652230508904698,0.9264077678072965,300.0,0.0
linear,0.5128,0.934123362952802,0.029622608735072015,0.9343211532593154,300.0,0.0
linear,0.5641,0.9380161968271091,0.02623214637693726,0.9374628323927375,300.0,0.0
linear,0.6154,0.94581577120298,0.016477051469779756,0.945654685782468,300.0,0.0
linear,0.6667,0.9386512135232437,0.02617870612177865,0.9379424494560205,300.0,0.0
linear,0.7179,0.9514349099943512,0.02588945884972484,0.9514935905333655,300.0,0.0
linear,0.7692,0.9512326036039033,0.023450920479431175,0.9514536079523694,300.0,0.0
linear,0.8205,0.9530431109958728,0.02265785950135281,0.9528341923917129,300.0,0.0
linear,0.8718,0.9975375429641204,0.002480746222830482,0.9977157458123148,300.0,0.0
linear,0.9231,0.9967340511848095,0.004588177979734572,0.9967341415536426,300.0,0.0
linear,0.9744,0.997744346697979,0.0024937185533100087,0.997744346697979,300.0,0.0
linear,1.0256,0.998496231131986,0.002297044888464087,0.998496231131986,300.0,0.0
linear,1.0769,0.997994974842648,0.002455644278478027,0.997994974842648,300.0,0.0
linear,1.1282,0.9969847696983116,0.004622660446614237,0.9969847696983116,300.0,0.0
linear,1.1795,0.997744346697979,0.0024937185533099905,0.9977443466979791,300.0,0.0
linear,1.2308,0.9987468592766551,0.0021705034018672177,0.9987468592766551,300.0,0.0
linear,1.2821,0.997243090408641,0.002493718553309952,0.9972430904086409,300.0,0.0
linear,1.3333,0.9967341415536426,0.004588143559575302,0.9967341415536426,300.0,0.0
linear,1.3846,0.9972353978429807,0.004643413502188975,0.9972353978429807,300.0,0.0
linear,1.4359,0.9959745645539752,0.0058878486325375625,0.9959745645539752,300.0,0.0
linear,1.4872,0.997744346697979,0.0024937185533099536,0.997744346697979,300.0,0.0
linear,1.5385,0.996992462263972,0.0024556442784780066,0.996992462263972,300.0,0.0
linear,1.5897,0.9952303726856286,0.004062669568762077,0.9952303726856286,300.0,0.0
linear,1.641,0.9967341415536424,0.004588143559575309,0.9967341415536424,300.0,0.0
linear,1.6923,0.9974860259876495,0.004650586991566745,0.9974860259876497,300.0,0.0
linear,1.7436,0.9964835134089736,0.004539548888166353,0.9964835134089736,300.0,0.0
linear,1.7949,0.997994974842648,0.002455644278477986,0.997994974842648,300.0,0.0
linear,1.8462,0.997744346697979,0.0024937185533099723,0.997744346697979,300.0,0.0
linear,1.8974,0.9954810008302974,0.004192491611102845,0.9954810008302974,300.0,0.0
linear,1.9487,0.9972353978429804,0.004643413502189006,0.9972353978429804,300.0,0.0
linear,2.0,0.9972353978429804,0.004643413502188983,0.9972353978429804,300.0,0.0
star,0.0,0.08707857390396548,0.0021731663082474855,0.08816078801731615,208.35,0.0
star,0.0513,0.076314340803969,0.0016081508070135556,0.07573080406192363,126.25,0.0
star,0.1026,0.24220040955557248,0.00043485312086653647,0.24205595931666943,300.0,0.0
star,0.1538,0.2480864856084973,0.0004958788470280131,0.24855929878887856,300.0,0.0
star,0.2051,0.25484200180019617,0.00028929449462369,0.2535181021123437,300.0,0.0
star,0.2564,0.2625237645901627,0.00018060940691343782,0.26283080463379677,300.0,0.0
star,0.3077,0.27103303149908053,0.00021759640770876003,0.2710105875620956,300.0,0.0
star,0.359,0.280473381394229,0.00022469542841277904,0.2813178306089923,300.0,0.0
star,0.4103,0.29093596732332133,0.0001465307871025491,0.2902607765834845,300.0,0.0
star,0.4615,0.3023358622051453,0.00010653124385149286,0.30335794380062675,300.0,0.0
star,0.5128,0.31484965263704984,8.471745472792665e-05,0.31508062947435334,300.0,0.0
star,0.5641,0.3286076143605256,8.235461653605644e-05,0.3278721821533388,300.0,0.0
star,0.6154,0.3437302153963086,0.0001030082463225287,0.34379241411780803,300.0,0.0
star,0.6667,0.3604335664245678,8.126321363817048e-05,0.36076585246013765,300.0,0.0
star,0.7179,0.3789257872084415,6.804603901454885e-05,0.37827708897775325,300.0,0.0
star,0.7692,0.39951051817623356,9.219373904962922e-05,0.399067684657717,300.0,0.0
star,0.8205,0.4224104408719289,6.7948716433998e-05,0.42232682292203094,300.0,0.0
star,0.8718,0.4354540653079443,2.252801340877724e-05,0.43544787289791165,300.0,0.0
star,0.9231,0.43588977457234473,2.4532276454952834e-07,0.43588989435406733,300.0,0.0
star,0.9744,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.0256,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.0769,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.1282,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.1795,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.2308,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.2821,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.3333,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.3846,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.4359,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.4872,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.5385,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.5897,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.641,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.6923,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.7436,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.7949,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.8462,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.8974,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,1.9487,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
star,2.0,0.43588989435406733,5.551115123125783e-17,0.43588989435406733,300.0,0.0
small_world,0.0,0.08795737779770635,0.0023867528968094217,0.08331156872194154,232.4,0.0
small_world,0.0513,0.06162413151505795,0.0013517848333624062,0.06328683173025709,10.55,0.05
