topology,distribution,final_std_avg,final_std_err,sync_fraction,k_state_corr_avg,k_state_corr_err,leader_state_avg,leader_state_err,follower_state_avg,follower_state_err
linear,homogeneous,0.06379843748671435,0.00976163924395913,0.1,1.1125136256266692e-17,2.1130321222238934e-16,0.0551035967169151,0.010610847669662589,0.0,0.0
linear,bimodal,0.4424114348924252,0.0530972142387447,0.0,0.8381912580512465,0.0655484803141275,0.9520271955799435,0.114240711538426,0.1630255265685087,0.05337713290053844
linear,uniform,0.8378124285108861,0.0562666163840887,0.0,0.7183010507269016,0.11154590011109647,1.0,0.0,0.7164767443498321,0.0967202210517034
star,homogeneous,0.24599959665533805,0.006460811212127301,0.0,1.1351516276266019e-17,8.793411209113657e-17,0.14041094827306294,0.017030565015002816,0.0,0.0
star,bimodal,0.41028486565918953,0.011391838653167733,0.0,0.8547868044762188,0.06131801018403335,1.0,0.0,0.25877922221014615,0.03307859286679675
star,uniform,0.48997402218200703,0.018239471372525212,0.0,0.8959267635876099,0.06146614007011046,1.0,0.0,0.6463429259316044,0.06852211350438521
small_world,homogeneous,0.04465476476069835,0.009478109548543273,0.7,5.4932896219744697e-17,1.6201838126048466e-16,0.039517330509532295,0.008682263163539138,0.0,0.0
small_world,bimodal,0.7792969295632843,0.048404921195565664,0.0,0.5615947842608023,0.06263809572171752,1.0,0.0,0.6156421655450304,0.07464789016382749
small_world,uniform,0.9123714525179384,0.037266524572700306,0.0,0.62629748307401,0.11332180203225889,1.0,0.0,0.8408075036945393,0.07313887367335073
